restaurant_name,city,raw_category,section,menu_name,price,source_platform,source_url,search_keyword,extract_method,scraped_at
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Teh Manis Panas,4000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Bakar Keju,12500,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Bakar Coklat Coklat Meses/Coklat Pasta,10000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Nasi Putih,5000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Bubur Kacang Hijau,10000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Bubur Kacang Ijo + Roti,11000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Kopi Susu,5000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Nasi Kebuli Ayam Nasi Kebuli Ayam+Acar+Emping,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Extra Acar,5000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,"Roti Bakar Kombinasi Coklat Meses/Selai, Keju,Kacang",15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Kolak Pisang Endolita,14000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
